Price,Close,High,Low,Open,Volume
Ticker,QVAL,QVAL,QVAL,QVAL,QVAL
Date,,,,,
2015-07-23,21.44293212890625,21.664081175470365,21.43442783149152,21.641967081983108,1900
2015-07-24,21.15373420715332,21.44292730196592,21.15373420715332,21.434423006465558,9400
2015-07-27,21.026147842407227,21.476951770543483,20.873046182648466,21.19626296081208,10800
2015-07-28,21.289817810058594,21.289817810058594,20.958093625840565,21.00062319937485,3700
2015-07-29,21.638561248779297,21.638561248779297,21.502469801242285,21.536491851957525,3100
2015-07-30,21.596033096313477,21.604539015143505,21.536493286841406,21.57221717252465,16200
2015-07-31,21.493968963623047,21.791669683856128,21.46845120280133,21.791669683856128,6600
2015-08-03,21.255802154541016,21.519479120384773,21.179250515693155,21.519479120384773,53300
2015-08-04,21.21327781677246,21.353621430446694,21.13672616482716,21.315345604474043,27200
2015-08-05,21.42591667175293,21.621547911213767,21.238789727626987,21.238789727626987,85700
2015-08-06,21.43442726135254,21.457391459502777,21.383391744191805,21.383391744191805,1400
2015-08-07,21.230289459228516,21.45143851055444,21.21327924169448,21.41741645314802,13600
2015-08-10,21.808671951293945,21.808671951293945,21.323846028802787,21.323846028802787,12500
2015-08-11,21.57902717590332,21.58753147408784,21.411463948511418,21.57902717590332,5500
2015-08-12,21.510976791381836,21.510976791381836,20.932587299359795,20.932587299359795,10100
2015-08-13,21.4310245513916,21.647071347862507,21.4310245513916,21.647071347862507,15300
2015-08-14,21.449735641479492,21.493965446262813,21.366379907709657,21.480355651584045,7300
2015-08-17,21.476951599121094,21.5109752714657,21.36467607612468,21.36467607612468,4500
2015-08-18,21.39189910888672,21.493968527765407,21.3833931887853,21.493968527765407,8000
2015-08-19,21.162240982055664,21.238792629231366,21.060173200713486,21.221782413899756,21800
2015-08-20,20.549829483032227,21.306838415680758,20.549829483032227,20.932587719954597,53200
2015-08-21,20.252126693725586,20.677412858109882,20.252126693725586,20.532815497325704,17800
2015-08-24,19.58869171142578,20.54983823919217,18.72961300877041,20.32868912166653,104400
2015-08-25,19.393051147460938,19.971440671138094,19.393051147460938,19.588684043296347,14300
2015-08-26,20.002914428710938,20.002914428710938,19.444088624915164,19.69925973589802,18900
2015-08-27,20.371212005615234,20.592359427758655,20.217256968574695,20.30316627056996,13900
2015-08-28,20.609371185302734,20.694428759356295,20.608521080040305,20.651900783498657,5400
2015-08-31,20.655296325683594,20.736950208310493,20.60085878159455,20.60085878159455,1800
2015-09-01,20.065004348754883,20.830519233997755,19.988452697996777,19.988452697996777,129300
2015-09-02,20.345693588256836,20.345693588256836,20.109234544950404,20.243624177822507,6300
2015-09-03,20.484338760375977,20.643396059934076,20.44776476391285,20.44776476391285,19500
2015-09-04,20.277647018432617,20.413738478502246,20.243623342246124,20.396726640408996,3300
2015-09-08,20.753971099853516,20.753971099853516,20.525167836370134,20.532822029339968,8500
2015-09-09,20.779481887817383,20.992124966288966,20.71143616759999,20.813503936757108,11000
2015-09-10,20.575342178344727,20.64764003734678,20.575342178344727,20.63488197336706,2600
2015-09-11,20.635732650756836,20.635732650756836,20.43074540473126,20.498791118406842,1600
2015-09-14,20.507301330566406,20.63488686763809,20.490289493000017,20.63488686763809,4300
2015-09-15,20.660400390625,20.660400390625,20.600858971342802,20.600858971342802,6200
